From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
O35867	O35867	reviewed	NEB1_RAT	Neurabin-1 (Neurabin-I) (Neural tissue-specific F-actin-binding protein I) (PP1bp175) (Protein phosphatase 1 regulatory subunit 9A) (p180)	Ppp1r9a	Rattus norvegicus (Rat)	1095	GO:0005737; GO:0005856; GO:0007015; GO:0008157; GO:0010976; GO:0014069; GO:0015629; GO:0019722; GO:0019901; GO:0019904; GO:0030027; GO:0030175; GO:0030425; GO:0030426; GO:0030833; GO:0030864; GO:0031175; GO:0031594; GO:0042802; GO:0043025; GO:0043197; GO:0044325; GO:0044326; GO:0044877; GO:0048666; GO:0050804; GO:0051015; GO:0051020; GO:0051489; GO:0051497; GO:0051823; GO:0051963; GO:0060079; GO:0060999; GO:0061001; GO:0097237; GO:0098871; GO:0098974; GO:0098978; GO:1900272; GO:1900454; GO:1904049; GO:1990761	actin filament organization [GO:0007015]; calcium-mediated signaling [GO:0019722]; cellular response to toxic substance [GO:0097237]; excitatory postsynaptic potential [GO:0060079]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of spontaneous neurotransmitter secretion [GO:1904049]; negative regulation of stress fiber assembly [GO:0051497]; neuron development [GO:0048666]; neuron projection development [GO:0031175]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of long-term synaptic depression [GO:1900454]; positive regulation of neuron projection development [GO:0010976]; postsynaptic actin cytoskeleton organization [GO:0098974]; regulation of actin filament polymerization [GO:0030833]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of filopodium assembly [GO:0051489]; regulation of synapse assembly [GO:0051963]; regulation of synapse structural plasticity [GO:0051823]	actin cytoskeleton [GO:0015629]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; dendritic spine neck [GO:0044326]; filopodium [GO:0030175]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; growth cone lamellipodium [GO:1990761]; lamellipodium [GO:0030027]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; postsynaptic actin cytoskeleton [GO:0098871]; postsynaptic density [GO:0014069]; actin filament binding [GO:0051015]; GTPase binding [GO:0051020]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; protein phosphatase 1 binding [GO:0008157]; protein-containing complex binding [GO:0044877]; transmembrane transporter binding [GO:0044325]; actin filament organization [GO:0007015]; calcium-mediated signaling [GO:0019722]; cellular response to toxic substance [GO:0097237]; excitatory postsynaptic potential [GO:0060079]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of spontaneous neurotransmitter secretion [GO:1904049]; negative regulation of stress fiber assembly [GO:0051497]; neuron development [GO:0048666]; neuron projection development [GO:0031175]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of long-term synaptic depression [GO:1900454]; positive regulation of neuron projection development [GO:0010976]; postsynaptic actin cytoskeleton organization [GO:0098974]; regulation of actin filament polymerization [GO:0030833]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of filopodium assembly [GO:0051489]; regulation of synapse assembly [GO:0051963]; regulation of synapse structural plasticity [GO:0051823]	actin filament binding [GO:0051015]; GTPase binding [GO:0051020]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; protein phosphatase 1 binding [GO:0008157]; protein-containing complex binding [GO:0044877]; transmembrane transporter binding [GO:0044325]	actin cytoskeleton [GO:0015629]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; dendritic spine neck [GO:0044326]; filopodium [GO:0030175]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; growth cone lamellipodium [GO:1990761]; lamellipodium [GO:0030027]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; postsynaptic actin cytoskeleton [GO:0098871]; postsynaptic density [GO:0014069]
Q9ULJ8	Q9ULJ8	reviewed	NEB1_HUMAN	Neurabin-1 (Neurabin-I) (Neural tissue-specific F-actin-binding protein I) (Protein phosphatase 1 regulatory subunit 9A)	PPP1R9A KIAA1222	Homo sapiens (Human)	1098	GO:0005737; GO:0007015; GO:0014069; GO:0015629; GO:0019722; GO:0030175; GO:0030425; GO:0030864; GO:0031175; GO:0043197; GO:0050804; GO:0051015	actin filament organization [GO:0007015]; calcium-mediated signaling [GO:0019722]; modulation of chemical synaptic transmission [GO:0050804]; neuron projection development [GO:0031175]	actin cytoskeleton [GO:0015629]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; filopodium [GO:0030175]; postsynaptic density [GO:0014069]; actin filament binding [GO:0051015]; actin filament organization [GO:0007015]; calcium-mediated signaling [GO:0019722]; modulation of chemical synaptic transmission [GO:0050804]; neuron projection development [GO:0031175]	actin filament binding [GO:0051015]	actin cytoskeleton [GO:0015629]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; filopodium [GO:0030175]; postsynaptic density [GO:0014069]
F1RAX4	F1RAX4	reviewed	STRA6_DANRE	Receptor for retinol uptake stra6 (Stimulated by retinoic acid gene 6 protein homolog)	stra6	Danio rerio (Zebrafish) (Brachydanio rerio)	670	GO:0005516; GO:0005886; GO:0016918; GO:0019841; GO:0034632; GO:0034633; GO:0038023; GO:0042802; GO:0043009; GO:0060090; GO:0071939	chordate embryonic development [GO:0043009]; retinol transport [GO:0034633]; vitamin A import into cell [GO:0071939]	plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; retinal binding [GO:0016918]; retinol binding [GO:0019841]; retinol transmembrane transporter activity [GO:0034632]; signaling receptor activity [GO:0038023]; chordate embryonic development [GO:0043009]; retinol transport [GO:0034633]; vitamin A import into cell [GO:0071939]	calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; retinal binding [GO:0016918]; retinol binding [GO:0019841]; retinol transmembrane transporter activity [GO:0034632]; signaling receptor activity [GO:0038023]	plasma membrane [GO:0005886]
P55937	P55937	reviewed	GOGA3_MOUSE	Golgin subfamily A member 3 (Golgin-160) (Male-enhanced antigen 2) (MEA-2)	Golga3 Mea2	Mus musculus (Mouse)	1487	GO:0000139; GO:0005654; GO:0005730; GO:0005793; GO:0005794; GO:0005829; GO:0007283; GO:0030154; GO:0032580	cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]	cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]		cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
Q02224	Q02224	reviewed	CENPE_HUMAN	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)	CENPE	Homo sapiens (Human)	2701	GO:0000278; GO:0000775; GO:0000776; GO:0000779; GO:0003777; GO:0005524; GO:0005634; GO:0005694; GO:0005828; GO:0005829; GO:0005874; GO:0007018; GO:0007052; GO:0007059; GO:0007079; GO:0007080; GO:0008017; GO:0015630; GO:0016020; GO:0030071; GO:0030496; GO:0043231; GO:0043515; GO:0045171; GO:0045860; GO:0051233; GO:0051301; GO:0051310; GO:0051315; GO:0051382; GO:0072686; GO:0099606; GO:0099607; GO:1990023	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; kinetochore assembly [GO:0051382]; lateral attachment of mitotic spindle microtubules to kinetochore [GO:0099607]; metaphase chromosome alignment [GO:0051310]; microtubule plus-end directed mitotic chromosome migration [GO:0099606]; microtubule-based movement [GO:0007018]; mitotic cell cycle [GO:0000278]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase chromosome alignment [GO:0007080]; mitotic spindle organization [GO:0007052]; positive regulation of protein kinase activity [GO:0045860]; regulation of mitotic metaphase/anaphase transition [GO:0030071]	chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle midzone [GO:1990023]; nucleus [GO:0005634]; spindle midzone [GO:0051233]; ATP binding [GO:0005524]; kinetochore binding [GO:0043515]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; kinetochore assembly [GO:0051382]; lateral attachment of mitotic spindle microtubules to kinetochore [GO:0099607]; metaphase chromosome alignment [GO:0051310]; microtubule plus-end directed mitotic chromosome migration [GO:0099606]; microtubule-based movement [GO:0007018]; mitotic cell cycle [GO:0000278]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase chromosome alignment [GO:0007080]; mitotic spindle organization [GO:0007052]; positive regulation of protein kinase activity [GO:0045860]; regulation of mitotic metaphase/anaphase transition [GO:0030071]	ATP binding [GO:0005524]; kinetochore binding [GO:0043515]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]	chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle midzone [GO:1990023]; nucleus [GO:0005634]; spindle midzone [GO:0051233]
Q9C0D7	Q9C0D7	reviewed	ZC12C_HUMAN	Probable ribonuclease ZC3H12C (EC 3.1.-.-) (MCP-induced protein 3) (Zinc finger CCCH domain-containing protein 12C)	ZC3H12C KIAA1726 MCPIP3	Homo sapiens (Human)	883	GO:0003729; GO:0004521; GO:0005634; GO:0036464; GO:0046872		cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA endonuclease activity [GO:0004521]	metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA endonuclease activity [GO:0004521]	cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleus [GO:0005634]
Q9VRP9	Q9VRP9	reviewed	BRE1_DROME	E3 ubiquitin-protein ligase Bre1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Bre1) (dBre1)	Bre1 CG10542	Drosophila melanogaster (Fruit fly)	1044	GO:0000785; GO:0005634; GO:0006325; GO:0006513; GO:0007219; GO:0008270; GO:0031452; GO:0033503; GO:0045893; GO:0061630	chromatin organization [GO:0006325]; negative regulation of heterochromatin formation [GO:0031452]; Notch signaling pathway [GO:0007219]; positive regulation of DNA-templated transcription [GO:0045893]; protein monoubiquitination [GO:0006513]	chromatin [GO:0000785]; HULC complex [GO:0033503]; nucleus [GO:0005634]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; chromatin organization [GO:0006325]; negative regulation of heterochromatin formation [GO:0031452]; Notch signaling pathway [GO:0007219]; positive regulation of DNA-templated transcription [GO:0045893]; protein monoubiquitination [GO:0006513]	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	chromatin [GO:0000785]; HULC complex [GO:0033503]; nucleus [GO:0005634]
Q5JR59	Q5JR59	reviewed	MTUS2_HUMAN	Microtubule-associated tumor suppressor candidate 2 (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150) (Tracking protein of 150 kDa)	MTUS2 CAZIP KIAA0774 TIP150	Homo sapiens (Human)	1369	GO:0005634; GO:0005737; GO:0005874; GO:0008017; GO:0015630; GO:0042803; GO:0045171		cytoplasm [GO:0005737]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]	microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]	cytoplasm [GO:0005737]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]
Q0EEE2	Q0EEE2	reviewed	PTHD3_MOUSE	Patched domain-containing protein 3 (RND-type protein RNDEu-3)	Ptchd3	Mus musculus (Mouse)	906	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225		endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sperm midpiece [GO:0097225]		endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sperm midpiece [GO:0097225]
Q52KI8	Q52KI8	reviewed	SRRM1_MOUSE	Serine/arginine repetitive matrix protein 1 (Plenty-of-prolines 101)	Srrm1 Pop101	Mus musculus (Mouse)	946	GO:0000375; GO:0000398; GO:0003677; GO:0005681; GO:0016363; GO:0016607; GO:0048024; GO:0051179; GO:0071013	localization [GO:0051179]; mRNA splicing, via spliceosome [GO:0000398]; regulation of mRNA splicing, via spliceosome [GO:0048024]; RNA splicing, via transesterification reactions [GO:0000375]	catalytic step 2 spliceosome [GO:0071013]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; spliceosomal complex [GO:0005681]; DNA binding [GO:0003677]; localization [GO:0051179]; mRNA splicing, via spliceosome [GO:0000398]; regulation of mRNA splicing, via spliceosome [GO:0048024]; RNA splicing, via transesterification reactions [GO:0000375]	DNA binding [GO:0003677]	catalytic step 2 spliceosome [GO:0071013]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; spliceosomal complex [GO:0005681]
Q9WVE9	Q9WVE9	reviewed	ITSN1_RAT	Intersectin-1 (EH domain and SH3 domain regulator of endocytosis 1)	Itsn1 Ehsh1 Itsn	Rattus norvegicus (Rat)	1713	GO:0005085; GO:0005509; GO:0005635; GO:0005737; GO:0005886; GO:0005905; GO:0006887; GO:0007264; GO:0008104; GO:0015031; GO:0016197; GO:0019209; GO:0030027; GO:0030139; GO:0042734; GO:0043025; GO:0043195; GO:0043197; GO:0043524; GO:0044305; GO:0048488; GO:0051402; GO:0051897; GO:0055037; GO:0060090; GO:0060124; GO:0060999; GO:0070064; GO:0097440; GO:0097708; GO:0098833; GO:0098871; GO:0098978; GO:0099175; GO:0150007; GO:1905274; GO:2001288	clathrin-dependent synaptic vesicle endocytosis [GO:0150007]; endosomal transport [GO:0016197]; exocytosis [GO:0006887]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; positive regulation of caveolin-mediated endocytosis [GO:2001288]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of growth hormone secretion [GO:0060124]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of modification of postsynaptic actin cytoskeleton [GO:1905274]; regulation of postsynapse organization [GO:0099175]; small GTPase mediated signal transduction [GO:0007264]; synaptic vesicle endocytosis [GO:0048488]	apical dendrite [GO:0097440]; calyx of Held [GO:0044305]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; endocytic vesicle [GO:0030139]; glutamatergic synapse [GO:0098978]; intracellular vesicle [GO:0097708]; lamellipodium [GO:0030027]; neuronal cell body [GO:0043025]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; presynaptic endocytic zone [GO:0098833]; presynaptic membrane [GO:0042734]; recycling endosome [GO:0055037]; terminal bouton [GO:0043195]; calcium ion binding [GO:0005509]; guanyl-nucleotide exchange factor activity [GO:0005085]; kinase activator activity [GO:0019209]; molecular adaptor activity [GO:0060090]; proline-rich region binding [GO:0070064]; clathrin-dependent synaptic vesicle endocytosis [GO:0150007]; endosomal transport [GO:0016197]; exocytosis [GO:0006887]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; positive regulation of caveolin-mediated endocytosis [GO:2001288]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of growth hormone secretion [GO:0060124]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of modification of postsynaptic actin cytoskeleton [GO:1905274]; regulation of postsynapse organization [GO:0099175]; small GTPase mediated signal transduction [GO:0007264]; synaptic vesicle endocytosis [GO:0048488]	calcium ion binding [GO:0005509]; guanyl-nucleotide exchange factor activity [GO:0005085]; kinase activator activity [GO:0019209]; molecular adaptor activity [GO:0060090]; proline-rich region binding [GO:0070064]	apical dendrite [GO:0097440]; calyx of Held [GO:0044305]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; endocytic vesicle [GO:0030139]; glutamatergic synapse [GO:0098978]; intracellular vesicle [GO:0097708]; lamellipodium [GO:0030027]; neuronal cell body [GO:0043025]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; presynaptic endocytic zone [GO:0098833]; presynaptic membrane [GO:0042734]; recycling endosome [GO:0055037]; terminal bouton [GO:0043195]
Q9Z0R4	Q9Z0R4	reviewed	ITSN1_MOUSE	Intersectin-1 (EH and SH3 domains protein 1)	Itsn1 Ese1 Itsn	Mus musculus (Mouse)	1714	GO:0005085; GO:0005509; GO:0005635; GO:0005737; GO:0005829; GO:0005886; GO:0005905; GO:0006887; GO:0007264; GO:0008104; GO:0015031; GO:0016197; GO:0019209; GO:0030027; GO:0030139; GO:0042734; GO:0043025; GO:0043197; GO:0043524; GO:0044305; GO:0048488; GO:0051402; GO:0051897; GO:0055037; GO:0060090; GO:0060124; GO:0060999; GO:0070064; GO:0097440; GO:0097708; GO:0098833; GO:0098871; GO:0098978; GO:0099175; GO:0150007; GO:1905274; GO:2001288	clathrin-dependent synaptic vesicle endocytosis [GO:0150007]; endosomal transport [GO:0016197]; exocytosis [GO:0006887]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; positive regulation of caveolin-mediated endocytosis [GO:2001288]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of growth hormone secretion [GO:0060124]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of modification of postsynaptic actin cytoskeleton [GO:1905274]; regulation of postsynapse organization [GO:0099175]; small GTPase mediated signal transduction [GO:0007264]; synaptic vesicle endocytosis [GO:0048488]	apical dendrite [GO:0097440]; calyx of Held [GO:0044305]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endocytic vesicle [GO:0030139]; glutamatergic synapse [GO:0098978]; intracellular vesicle [GO:0097708]; lamellipodium [GO:0030027]; neuronal cell body [GO:0043025]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; presynaptic endocytic zone [GO:0098833]; presynaptic membrane [GO:0042734]; recycling endosome [GO:0055037]; calcium ion binding [GO:0005509]; guanyl-nucleotide exchange factor activity [GO:0005085]; kinase activator activity [GO:0019209]; molecular adaptor activity [GO:0060090]; proline-rich region binding [GO:0070064]; clathrin-dependent synaptic vesicle endocytosis [GO:0150007]; endosomal transport [GO:0016197]; exocytosis [GO:0006887]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; positive regulation of caveolin-mediated endocytosis [GO:2001288]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of growth hormone secretion [GO:0060124]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of modification of postsynaptic actin cytoskeleton [GO:1905274]; regulation of postsynapse organization [GO:0099175]; small GTPase mediated signal transduction [GO:0007264]; synaptic vesicle endocytosis [GO:0048488]	calcium ion binding [GO:0005509]; guanyl-nucleotide exchange factor activity [GO:0005085]; kinase activator activity [GO:0019209]; molecular adaptor activity [GO:0060090]; proline-rich region binding [GO:0070064]	apical dendrite [GO:0097440]; calyx of Held [GO:0044305]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endocytic vesicle [GO:0030139]; glutamatergic synapse [GO:0098978]; intracellular vesicle [GO:0097708]; lamellipodium [GO:0030027]; neuronal cell body [GO:0043025]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; presynaptic endocytic zone [GO:0098833]; presynaptic membrane [GO:0042734]; recycling endosome [GO:0055037]
